ref_id,cell_group,cell_type,cell_subtype,rank_filter,min_confidence,marker1,rule1,marker2,rule2,marker3,rule3
1,epithelial,tumor,panck_positive,positive_only,30,PANCK,high,EPCAM,high,CD45,low
1,epithelial,tumor,epcam_positive,positive_only,30,EPCAM,high,PANCK,medium,CD45,low
1,immune,tcell,cd3_positive,positive_only,30,CD3E,high,CD45,high,PANCK,low
1,immune,tcell,cd8_cytotoxic,positive_only,30,CD8a,high,CD3E,high,CD45,high
1,immune,tcell,memory,positive_only,30,CD45RO,high,CD3E,high,CD45,high
1,immune,bcell,cd20_positive,positive_only,30,CD20,high,CD45,high,CD3E,low
1,immune,plasma,cd38_positive,positive_only,30,CD38,high,CD45,high,CD20,medium
1,immune,macrophage,cd68_positive,positive_only,30,CD68,high,CD45,high,CD3E,low
1,immune,macrophage,m2_type,positive_only,30,CD163,high,CD68,high,CD45,high
1,immune,monocyte,cd14_positive,positive_only,30,CD14,high,CD45,high,CD68,medium
1,immune,dendritic,cd11c_positive,positive_only,30,CD11c,high,CD45,high,CD3E,low
1,immune,nk_cell,cd56_positive,positive_only,30,CD56,high,CD45,high,CD3E,low
1,stromal,fibroblast,pdgfra_positive,positive_only,30,PDGFRA,high,VIM,high,CD45,low
1,stromal,fibroblast,collagen_producing,positive_only,30,COL1A1,high,VIM,high,CD45,low
1,endothelial,vessel,cd31_positive,positive_only,30,CD31,high,CD45,low,PANCK,low
1,smooth_muscle,vessel,acta2_positive,positive_only,30,ACTA2,high,CD31,medium,CD45,low
1,proliferating,any,ki67_positive,positive_only,20,Ki67,high
2,immune,activated,hladr_positive,positive_only,20,HLADR,high,CD45,high
2,adhesion,high_cd44,cd44_positive,positive_only,20,CD44,high